**Ты решаешь задачу разрешения кореференции (coreference resolution) в текстах на русском языке с помощью пошагового рассуждения (Chain-of-Thought).**

Следуй указанным шагам:

---

### 🔹 Шаг 1 (Извлечение упоминаний):

- Прочитай текст. На вход подаётся текст с BIO-разметкой сущностей.
- Выпиши все упоминания сущностей, принадлежащие следующим классам: Activity, Application, Dataset, Environment, InfoResource, Lang, Method, Method_ML, Metric, Model, Object, Organization, Person, Science, Subject, Task, а также местоимения и фразы, которые могут на них ссылаться.
- Учитывай не только имена собственные, но и абстрактные понятия (например, "база знаний", "информация", "уязвимости"), если на них ссылаются в тексте.

---

### 🔹 Шаг 2 (Определение кореферентных упоминаний и группировка):

- Определи, какие из упоминаний относятся к одной и той же сущности.
- Учитывай грамматические признаки (род, число, падеж), контекст и смысл текста.
- Если возникают сомнения, выбери наиболее вероятную связь. В сложных случаях можешь кратко пояснить причину (1–2 слова).
- Сгруппируй упоминания по кластерам — каждому кластеру соответствует одна сущность.

---

### 🔹 Шаг 3 (Итоговый результат):

- Верни только результат в виде массива массивов.
- Каждый внутренний массив — отдельный кластер кореферентных упоминаний.
- Не добавляй комментариев, пояснений или шагов рассуждения к итоговому выводу.

---
### 📌 Пример:

**Текст с BIO-разметкой:**

Мария B-PERSON
текст O  
разделяется O  
на O  
предложения O  
, O  
а O  
предложения O  
— O  
на O  
слова O  
. O  
UDPipe B-Application  
делает O  
всё O  
это O  
сразу O  
с O  
помощью O  
совместного O  
модуля O  
— O  
нейронной B-Method_ML  
сети I-Method_ML  
( O  
однослойной O  
двухсторонней O  
GRU B-Model  
) O  
, O  
которая O  
для O  
каждого O  
символа O  
предсказывает O  
, O  
последний O  
ли O  
он O  
в O  
предложении O  
или O  
в O  
слове O  
. O  

Затем O  
начинает O  
работу O  
теггер O  
— O  
штука O  
, O  
которая O  
предсказывает O  
морфологические B-Method  
свойства I-Method  
токена O  
: O  
в O  
каком O  
падеже O  
слово O  
стоит O  
, O  
в O  
каком O  
числе O  
. O  
По O  
последним O  
четырём O  
символам O  
каждого O  
слова O  
теггер O  
генерирует O  
гипотезы O  
относительно O  
части O  
речи O  
и O  
морфологических B-Method  
тегов I-Method  
этого O  
слова O  
, O  
а O  
затем O  
при O  
помощи O  
перцептрона B-Model  
отбирает O  
лучший O  
вариант O  
. O  

В O  
UDPipe B-Application  
есть O  
ещё O  
лемматизатор B-Method  
, O  
который O  
подбирает O  
для O  
слов O  
начальную O  
форму O  
. O  
Он O  
обучается O  
примерно O  
по O  
тому O  
же O  
принципу O  
, O  
по O  
которому O  
не-носитель O  
языка O  
мог O  
бы O  
попытаться O  
определить O  
лемму O  
незнакомого O  
ему O  
слова O  
. O  
Отрезаем O  
приставку O  
и O  
конец O  
слова O  
, O  
добавляем O  
какой-нибудь O  
« O  
ть O  
» O  
, O  
который O  
присутствует O  
в O  
начальной O  
форме O  
глагола O  
и O  
т.п O  
. O  
Так O  
генерируются O  
кандидаты O  
, O  
из O  
которых O  
наилучшего O  
выбирает O  
перцептрон B-Model  
. O  

Схема O  
морфологического B-Method  
теггирования I-Method  
( O  
определение O  
числа O  
, O  
падежа O  
и O  
всего O  
остального O  
) O  
и O  
предсказания O  
лемм O  
очень O  
похожи O  
. O  
Их O  
можно O  
предсказывать O  
вместе O  
, O  
но O  
лучше O  
раздельно O  
— O  
слишком O  
уж O  
богата O  
морфология B-Method  
русского B-Lang  
языка I-Lang  
. O  
Можно O  
также O  
подключить O  
свой O  
список O  
лемм O  
. O  

Перейдём O  
к O  
самому O  
интересному O  
— O  
к O  
парсеру B-Method  
. O  
Есть O  
несколько O  
архитектур O  
dependency-парсеров B-Method  
. O  
UDPipe B-Application  
— O  
это O  
transition-based B-Method  
архитектура I-Method  
: O  
она O  
работает O  
быстро O  
, O  
за O  
линейное O  
время O  
проходя O  
по O  
всем O  
токенам O  
один O  
раз O  
. O  

Синтаксический B-Method  
парсинг I-Method  
в O  
такой O  
архитектуре O  
начинается O  
со O  
стека O  
( O  
где O  
в O  
начале O  
только O  
root O  
) O  
и O  
пустой O  
конфигурации O  
. O  
Есть O  
три O  
дефолтных O  
способа O  
её O  
изменить O  
: O  

LeftArc O  
— O  
применим O  
, O  
если O  
второй O  
элемент O  
стека O  
не O  
root O  
. O  
Сохраняет O  
зависимость O  
между O  
токеном O  
на O  
верхушке O  
стека O  
и O  
вторым O  
токеном O  
, O  
а O  
также O  
выкидывает O  
второй O  
из O  
стека O  
. O  

RightArc O  
— O  
то O  
же O  
самое O  
, O  
но O  
зависимость O  
строится O  
в O  
другую O  
сторону O  
, O  
и O  
отбрасывается O  
верхушка O  
. O  

Shift O  
— O  
переносит O  
очередное O  
слово O  
из O  
буфера O  
в O  
стек O  
. O  

Ниже O  
приведен O  
пример O  
работы O  
парсера B-Method  
( O  
источник O  
) O  
. O  
У O  
нас O  
есть O  
фраза O  
« O  
book O  
me O  
the O  
morning O  
flight O  
» O  
, O  
и O  
мы O  
восстанавливаем O  
связи O  
в O  
ней O  
: O  

Вот O  
что O  
получается O  
в O  
итоге O  
: O  

У O  
классических O  
transition-based B-Method  
parser I-Method  
возможны O  
три O  
операции O  
, O  
перечисленные O  
выше O  
: O  
стрелка O  
в O  
одну O  
сторону O  
, O  
стрелка O  
в O  
другую O  
сторону O  
и O  
шифт O  
. O  
Есть O  
ещё O  
операция O  
Swap O  
, O  
в O  
базовых O  
архитектурах O  
transition-based B-Method  
парсеров I-Method  
она O  
не O  
используется O  
, O  
но O  
в O  
UDPipe B-Application  
включена O  
. O  
Swap O  
возвращает O  
второй O  
элемент O  
стека O  
в O  
буфер O  
, O  
чтобы O  
взять O  
потом O  
из O  
буфера O  
следующий O  
( O  
в O  
случае O  
если O  
они O  
разнесены O  
) O  
. O  
Это O  
помогает O  
пропустить O  
некоторое O  
количество O  
слов O  
и O  
восстановить O  
правильную O  
связь O  
. O  

По O  
ссылке O  
есть O  
хорошая O  
статья O  
человека O  
, O  
который O  
придумал O  
операцию O  
swap O  
. O  
Выделим O  
из O  
неё O  
один O  
момент O  
: O  
несмотря O  
на O  
то O  
, O  
что O  
мы O  
не O  
один O  
раз O  
проходим O  
по O  
исходному O  
буферу O  
токенов O  
( O  
т.е O  
. O  
наше O  
время O  
уже O  
не O  
линейное O  
) O  
, O  
эти O  
операции O  
можно O  
оптимизировать O  
так O  
, O  
чтобы O  
вернуть O  
время O  
очень O  
близко O  
к O  
линейному O  
. O  
То O  
есть O  
перед O  
нами O  
не O  
просто O  
осмысленная O  
с O  
точки O  
зрения O  
языка O  
операция O  
, O  
но O  
ещё O  
и O  
инструмент O  
, O  
не O  
сильно O  
замедляющий O  
работу O  
парсера B-Method  
. O  

На O  
примере O  
выше O  
мы O  
показали O  
операции O  
, O  
в O  
результате O  
которых O  
мы O  
получаем O  
некоторую O  
конфигурацию O  
— O  
буфер O  
токенов O  
и O  
связи O  
между O  
ними O  
. O  
Мы O  
отдаём O  
эту O  
конфигурацию O  
на O  
текущем O  
шаге O  
transition-based B-Method  
парсеру I-Method  
, O  
и O  
с O  
помощью O  
неё O  
он O  
должен O  
предсказать O  
конфигурацию O  
на O  
следующем O  
шаге O  
. O  
Сопоставляя O  
входящие O  
вектора O  
и O  
конфигурации O  
на O  
каждом O  
шаге O  
, O  
модель B-Model  
обучается O  
. O  

Итак O  
, O  
мы O  
отобрали O  
парсер B-Method  
, O  
который O  
подходит O  
под O  
все O  
наши O  
критерии O  
, O  
и O  
даже O  
поняли O  
, O  
как O  
он O  
работает O  
. O  
Переходим O  
к O  
экспериментам O  
. O  

Проблемы O  
UDPipe B-Application  

Зададим O  
небольшое O  
предложение O  
: O  
« O  
Переведи O  
маме O  
сто O  
рублей O  
» O  
. O  
Результат O  
заставляет O  
схватиться O  
за O  
голову O  
. O  

« O  
Переведи O  
» O  
оказалось O  
предлогом O  
, O  
но O  
это O  
вполне O  
логично O  
. O  
Мы O  
определяем O  
грамматику B-Method  
словоформы I-Method  
по O  
последним O  
четырём O  
символам O  
. O  
« O  
Веди O  
» O  
— O  
это O  
что-то O  
типа O  
« O  
посреди O  
» O  
, O  
так O  
что O  
выбор O  
относительно O  
логичен O  
. O  
С O  
« O  
мамой O  
» O  
поинтереснее O  
: O  
« O  
мама O  
» O  
оказалась O  
в O  
предложном O  
падеже O  
и O  
стала O  
вершиной O  
этого O  
предложения O  
. O  

Если O  
пытаться O  
интерпретировать O  
всё O  
, O  
исходя O  
из O  
результатов O  
парсинга B-Method  
, O  
то O  
мы O  
получили O  
бы O  
что-то O  
типа O  
« O  
посреди O  
мамы O  
( O  
мамы O  
кого O  
? O  
чья O  
это O  
мама O  
? O  
) O  
сотни O  
рублей O  
» O  
. O  
Не O  
совсем O  
то O  
, O  
что O  
было O  
в O  
начале O  
. O  
Нужно O  
как-то O  
с O  
этим O  
бороться O  
. O  
И O  
мы O  
придумали O  
, O  
как O  
. O  

В O  
пирамиде O  
анализа O  
синтаксис B-Method  
строится O  
поверх O  
морфологии B-Method  
, O  
на O  
основании O  
морфологических B-Method  
тегов I-Method  
. O  
Вот O  
хрестоматийный O  
пример O  
лингвиста O  
Л.В. B-Person  
Щербы I-Person  
на O  
этот O  
счёт O  
: O  

« O  
Глокая O  
куздра O  
штеко O  
будланула O  
бокра O  
и O  
курдячит O  
бокрёнка O  
» O  
. O  

Анализ O  
этого O  
предложения O  
не O  
вызывает O  
проблем O  
. O  
Почему O  
? O  
Потому O  
что O  
мы O  
, O  
как O  
теггер O  
UDPipe B-Application  
, O  
смотрим O  
на O  
конец O  
слова O  
и O  
понимаем O  
, O  
к O  
какой O  
оно O  
относится O  
части O  
речи O  
и O  
какая O  
это O  
форма O  
. O  
История O  
с O  
« O  
переведи O  
» O  
в O  
качестве O  
предлога O  
совершенно O  
противоречит O  
нашей O  
интуиции O  
, O  
но O  
оказывается O  
логична O  
в O  
тот O  
момент O  
, O  
когда O  
мы O  
пытаемся O  
проделать O  
то O  
же O  
самое O  
с O  
незнакомыми O  
словами O  
. O  
Человек O  
мог O  
бы O  
подумать O  
точно O  
так O  
же O  
. O  

Оценим O  
теггер O  
UDPipe B-Application  
отдельно O  
. O  
Если O  
он O  
нас O  
не O  
устроит O  
, O  
возьмём O  
другой O  
теггер O  
— O  
чтобы O  
потом O  
построить O  
синтаксический B-Method  
парсинг I-Method  
поверх O  
другой O  
морфологической B-Method  
разметки I-Method  
. O  

Tagging B-Method  
from I-Method  
plain I-Method  
text I-Method  
( O  
CoNLL17 B-Activity  
F1 B-Metric  
score I-Metric  
) O  

gold O  
forms O  
: O  
301639 O  
, O  

upostag B-Metric  
: O  
98.15 O  
% O  
, O  

xpostag B-Metric  
: O  
99.89 O  
% O  
, O  

feats O  
: O  
93.97 O  
% O  
, O  

alltags O  
: O  
93.44 O  
% O  
, O  

lemmas O  
: O  
96.68 O  
% O  

Качество O  
морфологии B-Method  
UDPipe B-Application  
2.0 I-Application  
неплохое O  
. O  
Но O  
для O  
русского B-Lang  
языка I-Lang  
достижимо O  
лучше O  
. O  
Анализатор B-Method  
Mystem B-Application  
( O  
разработка O  
яндекса B-Organization  
) O  
в O  
определении O  
частей O  
речи O  
достигает O  
лучших O  
результатов O  
, O  
чем O  
UDPipe B-Application  
. O  
К O  
тому O  
же O  
, O  
остальные O  
анализаторы B-Method  
сложнее O  
имплементировать O  
в O  
python-проект O  
, O  
и O  
они O  
работают O  
медленней O  
при O  
качестве O  
, O  
сопоставимом O  
с O  
Mystem B-Application  
. O  
Кстати O  
, O  
сравнению O  
морфологических B-Method  
анализаторов I-Method  
для O  
русского B-Lang  
языка I-Lang  
посвящена O  
пара O  
интересных O  
статей O  
. O  

Можно O  
попробовать O  
использовать O  
его O  
выходную O  
морфологическую B-Method  
разметку I-Method  
в O  
качестве O  
входа O  
для O  
синтаксического B-Method  
парсера I-Method  
UDPipe B-Application  
. O  
Но O  
есть O  
проблемы O  
. O  
Многие O  
знают O  
, O  
что O  
Mystem B-Application  
не O  
полностью O  
понимает O  
морфологическую B-Method  
омонимию I-Method  
. O  
Он O  
знает O  
, O  
что O  
в O  
предложении O  
« O  
Мама O  
мыла O  
раму O  
» O  
слово O  
« O  
мыла O  
» O  
— O  
от O  
слова O  
« O  
мыть O  
» O  
, O  
а O  
не O  
от O  
« O  
мыло O  
» O  
. O  
Но O  
нам O  
этого O  
мало O  
. O  
Ещё O  
нам O  
нужно O  
, O  
чтобы O  
в O  
словах O  
типа O  
« O  
директора O  
» O  
, O  
где O  
лемма O  
абсолютно O  
очевидна O  
( O  
директор O  
) O  
, O  
мы O  
понимали O  
, O  
какой O  
это O  
конкретно O  
падеж O  
. O  
Это O  
может O  
быть O  
: O  

« O  
нет O  
директора O  
» O  
— O  
родительный O  
падеж O  
единственного O  
числа O  

« O  
я O  
вижу O  
директора O  
» O  
— O  
т.е O  
. O  
винительный O  
падеж O  
единственного O  
числа O  

« O  
это O  
какие-то O  
директора O  
» O  
— O  
именительный O  
падеж O  
множественного O  
числа O  
( O  
ударения-то O  
у O  
нас O  
на O  
письме O  
нет O  
) O  

В O  
таких O  
случаях O  
Mystem B-Application  
честно O  
отдаёт O  
всю O  
цепочку O  
: O  

m.analyze O  
( O  
" O  
нет O  
директора O  
" O  
) O  

[ O  
{ O  
'analysis O  
' O  
: O  
[ O  
{ O  
'lex O  
' O  
: O  
'нет O  
' O  
, O  
'gr O  
' O  
: O  
'PART O  
=' O  
} O  
] O  
, O  
'text O  
' O  
: O  
'нет O  
' O  
} O  
, O  
{ O  
'text O  
' O  
: O  
' O  
} O  
, O  
{ O  
'analysis O  
' O  
: O  
[ O  
{ O  
'lex O  
' O  
: O  
'директор O  
' O  
, O  
'gr O  
' O  
: O  
'S O  
, O  
муж O  
, O  
од O  
= O  
( O  
вин O  
, O  
ед O  
| O  
род O  
, O  
ед O  
| O  
им O  
, O  
мн O  
) O  
' O  
} O  
] O  
, O  
'text O  
' O  
: O  
'директора O  
' O  
} O  
, O  
{ O  
'text O  
' O  
: O  
' O  
\n O  
' O  
} O  
] O  

Но O  
мы O  
не O  
можем O  
подать O  
UDPipe B-Application  
на O  
вход O  
всю O  
цепочку O  
, O  
а O  
должны O  
указать O  
какой-то O  
лучший O  
тег O  
. O  
Как O  
его O  
выбрать O  
? O  
Если O  
ничего O  
не O  
трогать O  
, O  
хочется O  
взять O  
первый O  
, O  
авось O  
сработает O  
. O  
Но O  
теги O  
отсортированы O  
по O  
алфавиту O  
в O  
соответствии O  
с O  
английскими O  
названиями O  
, O  
поэтому O  
наш O  
выбор O  
будет O  
близок O  
к O  
случайному O  
, O  
а O  
некоторые O  
разборы O  
практически O  
лишаются O  
шансов O  
стать O  
первыми O  
. O  

Есть O  
анализатор B-Method  
, O  
который O  
умеет O  
отдавать O  
лучший O  
вариант O  
, O  
— O  
Pymorphy2 B-Application  
. O  
Но O  
с O  
анализом O  
морфологии B-Method  
у O  
него O  
хуже O  
. O  
К O  
тому O  
же O  
, O  
он O  
отдаёт O  
лучшее O  
слово O  
без O  
учёта O  
контекста O  
. O  
Pymorphy2 B-Application  
выдаст O  
только O  
один O  
разбор O  
для O  
« O  
нет O  
директора O  
» O  
, O  
« O  
вижу O  
директора O  
» O  
и O  
« O  
директора O  
» O  
. O  
Он O  
будет O  
не O  
случайным O  
, O  
а O  
действительно O  
лучшим O  
по O  
вероятностям O  
, O  
которые O  
в O  
pymorphy2 B-Application  
считались O  
на O  
отдельном O  
корпусе O  
текстов O  
. O  
Но O  
некоторый O  
процент O  
неверных O  
разборов O  
боевых O  
текстов O  
будет O  
гарантирован O  
, O  
просто O  
потому O  
что O  
в O  
них O  
вполне O  
могут O  
быть O  
фразы O  
с O  
разными O  
реальным O  
формами O  
: O  
как O  
« O  
вижу O  
директора O  
» O  
, O  
так O  
и O  
« O  
директора O  
пришли O  
на O  
встречу O  
» O  
, O  
и O  
« O  
нет O  
директора O  
» O  
. O  
Бесконтекстная O  
вероятность O  
разбора O  
нам O  
не O  
подходит O  
. O  

Как O  
получить O  
контекстно O  
лучший O  
набор O  
тегов O  
? O  
При O  
помощи O  
анализатора B-Method  
RNNMorph B-Application  
. O  
Про O  
него O  
мало O  
кто O  
слышал O  
, O  
но O  
в O  
прошлом O  
году O  
он O  
выиграл O  
соревнование O  
среди O  
морфологических B-Method  
анализаторов I-Method  
, O  
проводившееся O  
в O  
рамках O  
конференции B-Activity  
« O  
Диалог O  
» O  
. O  

У O  
RNNMorph B-Application  
возникает O  
своя O  
проблема O  
: O  
у O  
него O  
нет O  
токенизации B-Method  
. O  
Если O  
Mystem B-Application  
умеет O  
токенизировать B-Method  
сырой O  
текст O  
, O  
то O  
RNNMorph B-Application  
требует O  
на O  
входе O  
список O  
токенов O  
. O  
Чтобы O  
доехать O  
до O  
синтаксиса B-Method  
, O  
придётся O  
сначала O  
применить O  
какой-то O  
внешний O  
токенизатор B-Method  
, O  
потом O  
отдать O  
результат O  
RNNMorph B-Application  
и O  
только O  
потом O  
полученную O  
морфологию B-Method  
скормить O  
синтаксическому B-Method  
парсеру I-Method  
. O  

Вот O  
какие O  
варианты O  
у O  
нас O  
есть O  
. O  
Не O  
будем O  
пока O  
отказываться O  
от O  
бесконтекстного O  
разбора O  
в O  
pymorphy2 B-Application  
поверх O  
спорных O  
случаев O  
в O  
Mystem B-Application  
— O  
вдруг O  
он O  
от O  
RNNMorph B-Application  
отстанет O  
не O  
сильно O  
. O  
Хотя O  
если O  
сравнивать O  
их O  
чисто O  
на O  
уровне O  
качества O  
морфологической B-Method  
разметки I-Method  
( O  
данные O  
с O  
MorphoRuEval-2017 B-Activity  
) O  
, O  
то O  
проигрыш O  
получается O  
значительный O  
— O  
порядка O  
15 O  
% O  
, O  
если O  
считать O  
accuracy B-Metric  
по O  
словам O  
. O  

Дальше O  
нам O  
нужно O  
конвертировать O  
выдачу O  
Mystem B-Application  
в O  
тот O  
формат O  
, O  
который O  
понимает O  
UDPipe B-Application  
, O  
— O  
conllu O  
. O  
И O  
это O  
опять O  
проблема O  
, O  
даже O  
целых O  
две O  
. O  
Чисто O  
техническая O  
— O  
строки O  
не O  
совпадают O  
. O  
И O  
концептуальная O  
— O  
не O  
всегда O  
до O  
конца O  
понятно O  
, O  
как O  
их O  
сопоставить O  
. O  
Сталкиваясь O  
с O  
двумя O  
разными O  
разметками O  
языковых O  
данных O  
, O  
вы O  
почти O  
наверняка O  
упрётесь O  
в O  
проблему O  
соответствия O  
тегов O  
, O  
см O  
. O  
примеры O  
ниже O  
. O  
Ответы O  
на O  
вопрос O  
« O  
какой O  
тег O  
здесь O  
правильный O  
» O  
могут O  
быть O  
разные O  
, O  
и O  
, O  
вероятно O  
, O  
правильный O  
ответ O  
зависит O  
от O  
задачи O  
. O  
Из-за O  
такой O  
непоследовательности O  
сопоставление O  
систем O  
разметок O  
— O  
само O  
по O  
себе O  
непростая O  
задача O  
. O  

Как O  
конвертировать O  
? O  
Есть O  
russian_tagsets_package B-Application  
— O  
пакет O  
для O  
Python O  
, O  
который O  
умеет O  
конвертировать O  
разные O  
форматы O  
. O  
Там O  
нет O  
перевода O  
из O  
формата O  
выдачи O  
Mystem B-Application  
в O  
Conllu B-InfoResource  
, O  
который O  
принят O  
в O  
Universal B-InfoResource  
Dependencies I-InfoResource  
, O  
но O  
зато O  
есть O  
перевод O  
в O  
conllu O  
, O  
например O  
, O  
из O  
формата O  
разметки O  
национального B-InfoResource  
корпуса I-InfoResource  
русского I-InfoResource  
языка I-InfoResource  
( O  
и O  
обратно O  
) O  
. O  
Автор O  
пакета O  
( O  
кстати O  
, O  
он O  
же O  
автор O  
pymorphy2 B-Application  
) O  
прямо O  
в O  
документации O  
написал O  
замечательную O  
вещь O  
: O  
« O  
Если O  
вы O  
можете O  
не O  
пользоваться O  
этим O  
пакетом O  
, O  
не O  
пользуйтесь O  
им O  
» O  
. O  
Он O  
сделал O  
это O  
не O  
потому O  
, O  
что O  
криворукий O  
программист O  
( O  
он O  
превосходный O  
программист O  
! O  
) O  
, O  
а O  
потому O  
что O  
если O  
вам O  
надо O  
конвертировать O  
одно O  
в O  
другое O  
, O  
то O  
вы O  
рискуете O  
получить O  
проблемы O  
из-за O  
лингвистического O  
несоответствия O  
конвенций O  
разметок O  
. O  

Вот O  
пример O  
. O  
В O  
школе O  
учили O  
« O  
категории O  
состояния O  
» O  
( O  
холодно O  
, O  
нужно O  
) O  
. O  
Одни O  
говорят O  
— O  
это O  
наречие O  
, O  
другие O  
— O  
прилагательное O  
. O  
Вам O  
нужно O  
это O  
конвертировать O  
, O  
и O  
вы O  
дописываете O  
какие-то O  
правила O  
, O  
но O  
всё равно O  
не O  
добиваетесь O  
однозначного O  
соответствия O  
между O  
одним O  
форматом O  
и O  
другим O  
. O  

Другой O  
пример O  
: O  
залог O  
( O  
либо O  
кто-то O  
что-то O  
делал O  
, O  
либо O  
с O  
кем-то O  
что-то O  
сделали O  
) O  
. O  
« O  
Петя O  
кого-то O  
убил O  
» O  
или O  
« O  
Петя O  
был O  
убит O  
» O  
. O  
« O  
Вася O  
фотографирует O  
» O  
— O  
« O  
Вася O  
фотографируется O  
» O  
( O  
т.е O  
. O  
на O  
самом O  
деле O  
« O  
Васю O  
фотографируют O  
» O  
) O  
. O  
В O  
SynTagRus B-Dataset  
есть O  
ещё O  
медиальный O  
залог O  
— O  
не O  
будем O  
даже O  
углубляться O  
в O  
то O  
, O  
что O  
это O  
и O  
почему O  
. O  
А O  
в O  
Mystem B-Application  
его O  
нет O  
. O  
Если O  
нужно O  
как-то O  
один O  
формат O  
привести O  
к O  
другому O  
, O  
это O  
тупик O  
. O  

Мы O  
более-менее O  
честно O  
воспользовались O  
советом O  
автора O  
пакета O  
russian_tagsets B-Application  
— O  
не O  
использовали O  
его O  
разработку O  
, O  
потому O  
что O  
не O  
нашли O  
нужной O  
пары O  
в O  
списке O  
соответствий O  
форматов O  
. O  
В O  
итоге O  
мы O  
написали O  
свой O  
кастомный O  
конвертер O  
из O  
Mystem B-Application  
в O  
Conllu B-InfoResource  
и O  
поехали O  
дальше O  
. O  

Соединяем O  
сторонний O  
теггер O  
и O  
парсер B-Method  
UDPipe B-Application  

После O  
всех O  
приключений O  
мы O  
взяли O  
три O  
алгоритма O  
, O  
про O  
которые O  
рассказывали O  
выше O  
: O  

baseline O  
UDPipe B-Application  

Mystem B-Application  
с O  
дизамбигуацией O  
тегов O  
от O  
pymorphy2 B-Application  

RNNMorph B-Application  

Мы O  
потеряли O  
в O  
качестве O  
по O  
довольно O  
понятной O  
причине O  
. O  
Мы O  
брали O  
модель B-Model  
UDPipe B-Application  
, O  
обученную O  
на O  
одной O  
морфологии B-Method  
, O  
но O  
подсовывали O  
на O  
вход O  
другую O  
морфологию B-Method  
. O  
Классическая O  
проблема O  
несоответствия O  
данных O  
трейна O  
и O  
теста O  
— O  
отсюда O  
и O  
падение O  
качества O  
. O  

Мы O  
пытались O  
наши O  
автоматические O  
инструменты O  
морфологической B-Method  
разметки I-Method  
привести O  
в O  
соответствие O  
с O  
разметкой O  
SynTagRus B-Dataset  
, O  
который O  
размечен O  
вручную O  
. O  
У O  
нас O  
не O  
получилось O  
, O  
поэтому O  
в O  
обучающем O  
корпусе O  
SynTagRus B-Dataset  
мы O  
заменим O  
всю O  
ручную O  
морфологическую B-Method  
разметку I-Method  
на O  
полученную O  
из O  
Mystem B-Application  
и O  
pymorphy2 B-Application  
в O  
одном O  
случае O  
и O  
из O  
RNNMorph B-Application  
в O  
другом O  
. O  
В O  
размеченном O  
руками O  
валидированном O  
корпусе O  
мы O  
вынуждены O  
менять O  
ручную O  
разметку O  
на O  
автоматическую O  
, O  
потому O  
что O  
« O  
в O  
бою O  
» O  
мы O  
никогда O  
не O  
получим O  
ручную O  
разметку O  
. O  

В O  
итоге O  
мы O  
обучили O  
парсер B-Method  
UDPipe B-Application  
( O  
только O  
парсер B-Method  
) O  
с O  
такими O  
же O  
гиперпараметрами O  
, O  
как O  
у O  
baseline O  
. O  
То O  
, O  
что O  
отвечало O  
за O  
синтаксис B-Method  
, O  
— O  
ID O  
вершины O  
, O  
от O  
кого O  
зависит O  
и O  
тип O  
связи O  
— O  
мы O  
оставили O  
, O  
всё O  
остальное O  
поменяли O  
. O  

Результаты O  

Дальше O  
буду O  
сравнивать O  
нас O  
с O  
Syntaxnet B-Application  
и O  
остальными O  
алгоритмами O  
. O  
Организаторы O  
CoNLL B-Activity  
Shared I-Activity  
Task I-Activity  
зарелизили O  
разбиение O  
SynTagRus B-Dataset  
( O  
train B-Object  
/ O  
dev B-Object  
/ O  
test B-Object  
80 O  
/ O  
10 O  
/ O  
10 O  
) O  
. O  
Мы O  
изначально O  
взяли O  
другое O  
( O  
train B-Object  
/ O  
test B-Object  
70 O  
/ O  
30 O  
) O  
, O  
поэтому O  
у O  
нас O  
не O  
всегда O  
совпадают O  
данные O  
, O  
хотя O  
они O  
и O  
получены O  
на O  
том O  
же O  
корпусе O  
. O  
Кроме O  
того O  
, O  
мы O  
взяли O  
последний O  
( O  
по O  
состоянию O  
на O  
февраль-март O  
) O  
релиз O  
из O  
репозитория O  
SynTagRus B-Dataset  
— O  
эта O  
версия O  
немного O  
отличается O  
от O  
той O  
, O  
что O  
была O  
на O  
соревновании O  
. O  
Данные O  
для O  
того O  
, O  
что O  
у O  
нас O  
не O  
взлетело O  
, O  
приводятся O  
по O  
статьям O  
, O  
где O  
сплит O  
был O  
такой O  
же O  
, O  
как O  
на O  
соревновании O  
— O  
такие O  
алгоритмы O  
помечены O  
в O  
таблице O  
звёздочкой O  
. O  

Вот O  
итоговые O  
результаты O  
: O  

RNNMorph B-Application  
действительно O  
оказался O  
лучше O  
— O  
не O  
в O  
абсолютном O  
смысле O  
, O  
а O  
в O  
роли O  
вспомогательного O  
инструмента O  
для O  
получения O  
общей O  
метрики B-Metric  
по O  
итогам O  
синтаксического B-Method  
анализа I-Method  
( O  
по O  
сравнению O  
с O  
Mystem B-Application  
+ O  
pymorphy2 B-Application  
) O  
. O  
То O  
есть O  
чем O  
лучше O  
морфология B-Method  
, O  
тем O  
лучше O  
синтаксис B-Method  
, O  
но O  
при O  
этом O  
« O  
синтаксический O  
» O  
отрыв O  
значительно O  
меньше O  
морфологического B-Method  
. O  
Заметим O  
также O  
, O  
что O  
мы O  
не O  
очень O  
далеко O  
уехали O  
от O  
baseline-модели O  
, O  
а O  
значит O  
, O  
в O  
морфологии B-Method  
на O  
самом O  
деле O  
лежало O  
не O  
так O  
много O  
, O  
как O  
мы O  
предполагали O  
. O  

Интересно O  
, O  
много O  
ли O  
вообще O  
лежит O  
на O  
морфологии B-Method  
? O  
Можно O  
ли O  
добиться O  
принципиального O  
улучшения O  
синтаксического B-Method  
парсера I-Method  
за O  
счёт O  
идеальной O  
морфологии B-Method  
? O  
Чтобы O  
ответить O  
на O  
этот O  
вопрос O  
, O  
мы O  
прогнали O  
UDPipe B-Application  
2.0 I-Application  
на O  
идеально O  
выверенной O  
( O  
на O  
стандарте O  
ручной O  
разметки O  
) O  
токенизации B-Method  
и O  
морфологии B-Method  
. O  
Получился O  
некоторый O  
отрыв O  
( O  
см O  
. O  
в O  
таблице O  
строчку O  
про O  
Gold B-Model  
Morph I-Model  
; O  
получается O  
+1.54 O  
% O  
от O  
RNNMorph_reannotated_syntax O  
) O  
от O  
того O  
, O  
что O  
было O  
у O  
нас O  
, O  
в O  
том O  
числе O  
, O  
с O  
точки O  
зрения O  
верного O  
определения O  
типа O  
связи O  
. O  
Если O  
кто-то O  
когда-то O  
напишет O  
абсолютно O  
идеальный O  
морфологический B-Method  
анализатор I-Method  
русского B-Lang  
языка I-Lang  
, O  
вероятно O  
, O  
результаты O  
